学科门类代码,学科门类,专业类代码,专业类,专业代码,专业名称,是否特设专业,是否国家控制布点专业,特殊标识,学位授予说明
01,哲学,0101,哲学类,010101,哲学,,,,
01,哲学,0101,哲学类,010102,逻辑学,,,,
01,哲学,0101,哲学类,010103,宗教学,,K,K,
01,哲学,0101,哲学类,010104,伦理学,T,,T,
02,经济学,0201,经济学类,020101,经济学,,,,
02,经济学,0201,经济学类,020102,经济统计学,,,,
02,经济学,0201,经济学类,020103,国民经济管理,T,,T,
02,经济学,0201,经济学类,020104,资源与环境经济学,T,,T,
02,经济学,0201,经济学类,020105,商务经济学,T,,T,
02,经济学,0201,经济学类,020106,能源经济,T,,T,
02,经济学,0201,经济学类,020107,劳动经济学,T,,T,
02,经济学,0201,经济学类,020108,经济工程,T,,T,
02,经济学,0201,经济学类,020109,数字经济,T,,T,
02,经济学,0202,财政学类,020201,财政学,,K,K,
02,经济学,0202,财政学类,020202,税收学,,,,
02,经济学,0202,财政学类,020203,国际税收,T,K,TK,
02,经济学,0203,金融学类,020301,金融学,,K,K,
02,经济学,0203,金融学类,020302,金融工程,,,,
02,经济学,0203,金融学类,020303,保险学,,,,
02,经济学,0203,金融学类,020304,投资学,,,,
02,经济学,0203,金融学类,020305,金融数学,T,,T,
02,经济学,0203,金融学类,020306,信用管理,T,,T,
02,经济学,0203,金融学类,020307,经济与金融,T,,T,
02,经济学,0203,金融学类,020308,精算学,T,,T,
02,经济学,0203,金融学类,020309,互联网金融,T,,T,
02,经济学,0203,金融学类,020310,金融科技,T,,T,
02,经济学,0203,金融学类,020311,金融审计,T,K,TK,
02,经济学,0204,经济与贸易类,020401,国际经济与贸易,,,,
02,经济学,0204,经济与贸易类,020402,贸易经济,,,,
02,经济学,0204,经济与贸易类,020403,国际经济发展合作,T,,T,
03,法学,0301,法学类,030101,法学,,K,K,
03,法学,0301,法学类,030102,知识产权,T,,T,
03,法学,0301,法学类,030103,监狱学,T,,T,
03,法学,0301,法学类,030104,信用风险管理与法律防控,T,,T,
03,法学,0301,法学类,030105,国际经贸规则,T,,T,
03,法学,0301,法学类,030106,司法警察学,T,K,TK,
03,法学,0301,法学类,030107,社区矫正,T,K,TK,
03,法学,0301,法学类,030108,纪检监察,T,K,TK,
03,法学,0301,法学类,030109,国际法,T,K,TK,
03,法学,0301,法学类,030110,司法鉴定学,T,K,TK,
03,法学,0301,法学类,030111,国家安全学,T,K,TK,
03,法学,0301,法学类,030112,海外利益安全,T,K,TK,
03,法学,0302,政治学类,030201,政治学与行政学,,,,
03,法学,0302,政治学类,030202,国际政治,,,,
03,法学,0302,政治学类,030203,外交学,,,,
03,法学,0302,政治学类,030204,国际事务与国际关系,T,,T,
03,法学,0302,政治学类,030205,政治学、经济学与哲学,T,,T,
03,法学,0302,政治学类,030206,国际组织与全球治理,T,K,TK,
03,法学,0303,社会学类,030301,社会学,,,,
03,法学,0303,社会学类,030302,社会工作,,,,
03,法学,0303,社会学类,030303,人类学,T,,T,
03,法学,0303,社会学类,030304,女性学,T,,T,
03,法学,0303,社会学类,030305,家政学,T,,T,
03,法学,0303,社会学类,030306,老年学,T,,T,
03,法学,0303,社会学类,030307,社会政策,T,,T,
03,法学,0304,民族学类,030401,民族学,,,,
03,法学,0305,马克思主义理论类,030501,科学社会主义,,,,
03,法学,0305,马克思主义理论类,030502,中国共产党历史,,,,
03,法学,0305,马克思主义理论类,030503,思想政治教育,,,,
03,法学,0305,马克思主义理论类,030504,马克思主义理论,T,,T,
03,法学,0305,马克思主义理论类,030505,工会学,T,K,TK,
03,法学,0306,公安学类,030601,治安学,,K,K,
03,法学,0306,公安学类,030602,侦查学,,K,K,
03,法学,0306,公安学类,030603,边防管理,,K,K,
03,法学,0306,公安学类,030604,禁毒学,T,K,TK,
03,法学,0306,公安学类,030605,警犬技术,T,K,TK,
03,法学,0306,公安学类,030606,经济犯罪侦查,T,K,TK,
03,法学,0306,公安学类,030607,边防指挥,T,K,TK,
03,法学,0306,公安学类,030608,消防指挥,T,K,TK,
03,法学,0306,公安学类,030609,警卫学,T,K,TK,
03,法学,0306,公安学类,030610,公安情报学,T,K,TK,
03,法学,0306,公安学类,030611,犯罪学,T,K,TK,
03,法学,0306,公安学类,030612,公安管理学,T,K,TK,
03,法学,0306,公安学类,030613,涉外警务,T,K,TK,
03,法学,0306,公安学类,030614,国内安全保卫,T,K,TK,
03,法学,0306,公安学类,030615,警务指挥与战术,T,K,TK,
03,法学,0306,公安学类,030616,技术侦查学,T,K,TK,
03,法学,0306,公安学类,030617,海警执法,T,K,TK,
03,法学,0306,公安学类,030618,公安政治工作,T,K,TK,
03,法学,0306,公安学类,030619,移民管理,T,K,TK,
03,法学,0306,公安学类,030620,出入境管理,T,K,TK,
03,法学,0306,公安学类,030621,反恐警务,T,K,TK,
03,法学,0306,公安学类,030622,消防政治工作,T,K,TK,
03,法学,0306,公安学类,030623,铁路警务,T,K,TK,
04,教育学,0401,教育学类,040101,教育学,,,,
04,教育学,0401,教育学类,040102,科学教育,,,,
04,教育学,0401,教育学类,040103,人文教育,,,,
04,教育学,0401,教育学类,040104,教育技术学,,,,
04,教育学,0401,教育学类,040105,艺术教育,,,,
04,教育学,0401,教育学类,040106,学前教育,,,,
04,教育学,0401,教育学类,040107,小学教育,,,,
04,教育学,0401,教育学类,040108,特殊教育,,,,
04,教育学,0401,教育学类,040109,华文教育,T,,T,
04,教育学,0401,教育学类,040110,教育康复学,T,K,TK,
04,教育学,0401,教育学类,040111,卫生教育,T,,T,
04,教育学,0401,教育学类,040112,认知科学与技术,T,,T,
04,教育学,0401,教育学类,040113,融合教育,T,,T,
04,教育学,0401,教育学类,040114,劳动教育,T,K,TK,
04,教育学,0401,教育学类,040115,家庭教育,T,,T,
04,教育学,0401,教育学类,040116,孤独症儿童教育,T,K,TK,
04,教育学,0401,教育学类,040117,人工智能教育,T,K,TK,
04,教育学,0401,教育学类,040118,婴幼儿发展与健康管理,T,,T,
04,教育学,0402,体育学类,040201,体育教育,,,,
04,教育学,0402,体育学类,040202,运动训练,,K,K,
04,教育学,0402,体育学类,040203,社会体育指导与管理,,,,
04,教育学,0402,体育学类,040204,武术与民族传统体育,,K,K,
04,教育学,0402,体育学类,040205,运动人体科学,,,,
04,教育学,0402,体育学类,040206,运动康复,T,,T,
04,教育学,0402,体育学类,040207,休闲体育,T,,T,
04,教育学,0402,体育学类,040208,体能训练,T,,T,
04,教育学,0402,体育学类,040209,冰雪运动,T,,T,
04,教育学,0402,体育学类,040210,电子竞技运动与管理,T,K,TK,
04,教育学,0402,体育学类,040211,智能体育工程,T,K,TK,
04,教育学,0402,体育学类,040212,体育旅游,T,K,TK,
04,教育学,0402,体育学类,040213,运动能力开发,T,,T,
04,教育学,0402,体育学类,040214,足球运动,T,K,TK,
04,教育学,0402,体育学类,040215,马术运动与管理,T,K,TK,
04,教育学,0402,体育学类,040216,体育康养,T,,T,
04,教育学,0402,体育学类,040217,航空运动,T,K,TK,
05,文学,0501,中国语言文学类,050101,汉语言文学,,,,
05,文学,0501,中国语言文学类,050102,汉语言,,,,
05,文学,0501,中国语言文学类,050103,汉语国际教育,,,,
05,文学,0501,中国语言文学类,050104,中国少数民族语言文学,,,,
05,文学,0501,中国语言文学类,050105,古典文献学,,,,
05,文学,0501,中国语言文学类,050106,应用语言学,T,,T,
05,文学,0501,中国语言文学类,050107,秘书学,T,,T,
05,文学,0501,中国语言文学类,050108,中国语言与文化,T,,T,
05,文学,0501,中国语言文学类,050109,手语翻译,T,,T,
05,文学,0501,中国语言文学类,050110,数字人文,T,,T,
05,文学,0501,中国语言文学类,050111,中国古典学,T,,T,
05,文学,0501,中国语言文学类,050112,汉学与中国学,T,,T,
05,文学,0501,中国语言文学类,050113,应用中文,T,,T,
05,文学,0502,外国语言文学类,050201,英语,,,,
05,文学,0502,外国语言文学类,050202,俄语,,,,
05,文学,0502,外国语言文学类,050203,德语,,,,
05,文学,0502,外国语言文学类,050204,法语,,,,
05,文学,0502,外国语言文学类,050205,西班牙语,,,,
05,文学,0502,外国语言文学类,050206,阿拉伯语,,,,
05,文学,0502,外国语言文学类,050207,日语,,,,
05,文学,0502,外国语言文学类,050208,波斯语,,,,
05,文学,0502,外国语言文学类,050209,朝鲜语,,,,
05,文学,0502,外国语言文学类,050210,菲律宾语,,,,
05,文学,0502,外国语言文学类,050211,梵语巴利语,,,,
05,文学,0502,外国语言文学类,050212,印度尼西亚语,,,,
05,文学,0502,外国语言文学类,050213,印地语,,,,
05,文学,0502,外国语言文学类,050214,柬埔寨语,,,,
05,文学,0502,外国语言文学类,050215,老挝语,,,,
05,文学,0502,外国语言文学类,050216,缅甸语,,,,
05,文学,0502,外国语言文学类,050217,马来语,,,,
05,文学,0502,外国语言文学类,050218,蒙古语,,,,
05,文学,0502,外国语言文学类,050219,僧伽罗语,,,,
05,文学,0502,外国语言文学类,050220,泰语,,,,
05,文学,0502,外国语言文学类,050221,乌尔都语,,,,
05,文学,0502,外国语言文学类,050222,希伯来语,,,,
05,文学,0502,外国语言文学类,050223,越南语,,,,
05,文学,0502,外国语言文学类,050224,豪萨语,,,,
05,文学,0502,外国语言文学类,050225,斯瓦希里语,,,,
05,文学,0502,外国语言文学类,050226,阿尔巴尼亚语,,,,
05,文学,0502,外国语言文学类,050227,保加利亚语,,,,
05,文学,0502,外国语言文学类,050228,波兰语,,,,
05,文学,0502,外国语言文学类,050229,捷克语,,,,
05,文学,0502,外国语言文学类,050230,斯洛伐克语,,,,
05,文学,0502,外国语言文学类,050231,罗马尼亚语,,,,
05,文学,0502,外国语言文学类,050232,葡萄牙语,,,,
05,文学,0502,外国语言文学类,050233,瑞典语,,,,
05,文学,0502,外国语言文学类,050234,塞尔维亚语,,,,
05,文学,0502,外国语言文学类,050235,土耳其语,,,,
05,文学,0502,外国语言文学类,050236,希腊语,,,,
05,文学,0502,外国语言文学类,050237,匈牙利语,,,,
05,文学,0502,外国语言文学类,050238,意大利语,,,,
05,文学,0502,外国语言文学类,050239,泰米尔语,,,,
05,文学,0502,外国语言文学类,050240,普什图语,,,,
05,文学,0502,外国语言文学类,050241,世界语,,,,
05,文学,0502,外国语言文学类,050242,孟加拉语,,,,
05,文学,0502,外国语言文学类,050243,尼泊尔语,,,,
05,文学,0502,外国语言文学类,050244,克罗地亚语,,,,
