学科门类代码,学科门类,专业类代码,专业类,专业代码,专业名称,是否特设专业,是否国家控制布点专业,特殊标识,学位授予说明,专业介绍
1,哲学,101,哲学类,10101,哲学,,,,,"培养目标：培养具有扎实的哲学理论基础和良好的哲学思维能力，能够运用哲学理论分析和解决实际问题的高素质人才。

培养要求：掌握马克思主义哲学、中国哲学、外国哲学的基本理论和基本知识；具备较强的理论思维能力、批判思维能力和创新能力；掌握哲学学科的基本研究方法；具有较强的口头和书面表达能力。

核心课程：马克思主义哲学原理、中国哲学史、外国哲学史、逻辑学、伦理学、美学、宗教学、科学技术哲学、政治哲学、哲学概论等。

就业方向：党政机关、新闻出版、教育科研、企事业单位从事理论宣传、政策分析、管理工作；高等院校、科研院所从事哲学教学和研究工作；文化传媒机构从事策划、编辑等工作。"
1,哲学,101,哲学类,10102,逻辑学,,,,,"培养目标：培养具有扎实的逻辑学理论基础，熟练掌握逻辑分析方法，能够在各个领域运用逻辑思维解决问题的专门人才。

培养要求：系统掌握逻辑学的基本理论、基本知识和基本方法；具备严密的逻辑思维能力和较强的分析判断能力；熟练掌握形式逻辑、数理逻辑的基本方法；具有一定的科学研究能力。

核心课程：形式逻辑、数理逻辑、逻辑哲学、归纳逻辑、模态逻辑、计算机逻辑、逻辑史、认知科学基础、批判性思维等。

就业方向：高等院校、科研机构从事逻辑学教学和研究；司法机关从事法律推理和论证工作；IT企业从事人工智能、专家系统开发；新闻媒体从事评论分析工作。"
1,哲学,101,哲学类,10103,宗教学,,K,K,,"培养目标：培养具有扎实的宗教学理论基础和良好的人文素养，能够运用专业知识分析和解决相关问题的高素质人才。

培养要求：掌握宗教学的基本理论和基本知识；具备较强的理论思维能力和创新能力；掌握宗教学的基本研究方法；具有较强的表达能力和沟通能力。

核心课程：马克思主义哲学原理、中国哲学史、外国哲学史、宗教学概论、宗教学方法论、学术写作与研究方法等专业核心课程。

就业方向：党政机关、教育科研机构、文化传媒、企事业单位从事理论研究、政策分析、文化宣传、管理等工作。"
1,哲学,101,哲学类,10104,伦理学,T,,T,,"培养目标：培养具有扎实的伦理学理论基础和良好的人文素养，能够运用专业知识分析和解决相关问题的高素质人才。

培养要求：掌握伦理学的基本理论和基本知识；具备较强的理论思维能力和创新能力；掌握伦理学的基本研究方法；具有较强的表达能力和沟通能力。

核心课程：马克思主义哲学原理、中国哲学史、外国哲学史、伦理学概论、伦理学方法论、学术写作与研究方法等专业核心课程。

就业方向：党政机关、教育科研机构、文化传媒、企事业单位从事理论研究、政策分析、文化宣传、管理等工作。"
2,经济学,201,经济学类,20101,经济学,,,,,"培养目标：培养具备扎实的经济学理论基础，掌握现代经济分析方法，能够在各类经济管理部门和企事业单位从事经济分析、预测、规划和管理工作的高级专门人才。

培养要求：掌握马克思主义经济学和现代西方经济学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解中外经济学的学术动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、财政学、货币银行学、会计学、经济史、经济思想史、当代中国经济、劳动经济学、产业经济学、网络经济学、会计学、统计学、财政学、货币银行学、国际经济学、金融经济学、企业经济学、会计学。

就业方向：政府经济管理部门、政策研究机构、金融机构、大中型企业、高等院校从事经济分析、预测、规划、管理、教学和科研工作。"
2,经济学,201,经济学类,20102,经济统计学,,,,,"培养目标：培养具备扎实的经济统计学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握经济统计学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解经济统计学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、经济统计学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,201,经济学类,20103,国民经济管理,T,,T,,"培养目标：培养具备扎实的国民经济管理理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握国民经济管理的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解国民经济管理的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、国民经济管理专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,201,经济学类,20104,资源与环境经济学,T,,T,,"培养目标：培养具备扎实的资源与环境经济学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握资源与环境经济学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解资源与环境经济学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、资源与环境经济学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,201,经济学类,20105,商务经济学,T,,T,,"培养目标：培养具备扎实的商务经济学理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握商务经济学的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解商务经济学的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、商务经济学专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
2,经济学,201,经济学类,20106,能源经济,T,,T,,"培养目标：培养具备扎实的能源经济理论基础，掌握现代经济分析方法，能够在相关经济管理部门和企事业单位从事专业工作的高级专门人才。

培养要求：掌握能源经济的基本理论和分析方法；熟练掌握数学、统计学等分析工具；具备经济数据的搜集、整理和分析能力；了解能源经济的发展动态和应用前景。

核心课程：政治经济学、微观经济学、宏观经济学、计量经济学、统计学、能源经济专业核心课程、经济数学、货币银行学等。

就业方向：政府经济管理部门、金融机构、企事业单位、咨询公司、高等院校从事经济分析、管理、教学和科研工作。"
